"Series","Series.Name","Season","Episode","IMDB.Ranking","Title","Star.date","Air.date","Bechdel.Wallace.Test","Director","Writer.1","Writer.2","Writer.3","Writer.4","Writer.5","Writer.6","Female.Director","Female.Writer.1","Female.Writer.2","Female.Writer.3","Female.Writer.4","Female.Writer.5","Female.Writer.6","Executive.Producer.1","Executive.Producer.2","Executive.Producer.3","Co.Executive.Producer.1","Co.Executive.Producer.2","Co.Executive.Producer.3","Producer.1","Producer.2","Producer.3","Producer.4","Co.Producer.1","Co.Producer.2","Co.Producer.3","Co.Producer.4","Co.Producer.5","Associate.Producer.1","Associate.Producer.2","Supervising.Producer.1","Supervising.Producer.2","Supervising.Producer.3","Co.Supervising.Producer.1","Co.Supervising.Producer.2","Line.Producer","Coordinating.Producer","Consulting.Producer.1","Consulting.Producer.2","Female.Executive.Producer","Female.Co.Executive.Producer","Female.Producer","Female.Co.Producer","Female.Associate.Producer","Female.Supervising.Producer","Female.Co.Supervising.Producer","Female.Line.Producer"
"TOS","The Original Series",1,1,7.3,"The Man Trap","1513.1","8/9/66",FALSE,"Marc Daniels","George Clayton Johnson",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,2,7.2,"Charlie X","1533.6","15/9/66",FALSE,"Lawrence Dobkin","Gene Rodenberry","D. C. Fontana",NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,3,7.8,"Where No Man Has Gone Before","1312.4","22/9/66",FALSE,"James Goldstone","Samuel A Peeples",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,4,8,"The Naked Time","1704.2","29/9/66",FALSE,"Marc Daniels","John D. F. Black",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,5,7.8,"The Enemy Within","1672.1","6/10/66",FALSE,"Leo Penn","Richard Matheson",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,6,6.9,"Mudd's Women","1329.8","13/10/66",FALSE,"Harey Hart","Gene Rodenberry","Stephen Kandel",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,7,7.6,"What Are Little Girls Made Of?","2712.4","20/10/66",FALSE,"James Goldstone","Robert Bloch",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,8,7.1,"Miri","2713.5","27/10/66",FALSE,"Vincent McEveety","Adrian Spies",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,9,7.5,"Dagger of the Mind","2715.1","3/11/66",FALSE,"Vincent McEveety","Shimon Wincelberg",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,10,8.2,"The Corbomite Maneuver","1512.2","10/11/66",FALSE,"Joseph Sargent","Jerry Sohl",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,11,8.4,"The Menagerie, Part I","3012.4","17/11/66",FALSE,"Marc Daniels","Gene Rodenberry",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,12,8.3,"The Menagerie, Part II","3013.1","24/11/66",FALSE,"Robert Butler","Gene Rodenberry",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,"Byron Haskin","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,13,7.3,"The Conscience of the King","2817.6","8/12/66",FALSE,"Gerd Oswald","Barry Trivers",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,14,9,"Balance of Terror","1709.2","15/12/66",FALSE,"Vincent McEveety","Paul Schneider",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John D. F. Black","Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,15,7.7,"Shore Leave","3025.3","29/12/66",FALSE,"Robert Sparr","Theodore Strugeon",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,16,7.8,"The Galileo Seven","2821.5","5/1/67",FALSE,"Robert Gist","Oliver Crawford","Shimon Wincelberg",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,17,7.5,"The Squire of Gothos","2124.5","12/1/67",FALSE,"Don McDougall","Paul Schneider",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,18,8.1,"Arena","3045.6","19/1/67",FALSE,"Joseph Pevney","Gene L. Coon","Fredric Brown",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,19,8,"Tomorrow Is Yesterday","3113.2","26/1/67",FALSE,"Michael O'Herlihy","D. C. Fontana",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,20,7.5,"Court Martial","2947.3","2/2/67",FALSE,"Marc Daniels","Don Manikiewicz","Steven W. Carabatos",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,21,7.3,"The Return of the Archons","3156.2","9/2/67",FALSE,"Joseph Pevney","Boris Sobelman","Gene Rodenberry",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
