"city","hwy","cyl","disp","drive","make","model","trans","year"
16,24,8,5,"Rear-Wheel Drive","Jaguar","XK","Automatic",2010
15,22,8,5,"Rear-Wheel Drive","Jaguar","XK","Automatic",2010
16,22,8,5,"Rear-Wheel Drive","Jaguar","XK Convertible","Automatic",2010
19,27,4,2,"Rear-Wheel Drive","Pontiac","Solstice","Automatic",2010
19,29,4,2,"Rear-Wheel Drive","Pontiac","Solstice","Manual",2010
19,24,4,2.4,"Rear-Wheel Drive","Pontiac","Solstice","Automatic",2010
19,26,4,2.4,"Rear-Wheel Drive","Pontiac","Solstice","Manual",2010
19,27,4,2,"Rear-Wheel Drive","Saturn","SKY","Automatic",2010
19,29,4,2,"Rear-Wheel Drive","Saturn","SKY","Manual",2010
19,24,4,2.4,"Rear-Wheel Drive","Saturn","SKY","Automatic",2010
19,26,4,2.4,"Rear-Wheel Drive","Saturn","SKY","Manual",2010
14,22,8,4.2,"All-Wheel Drive","Audi","S5","Manual",2010
16,24,8,4.2,"All-Wheel Drive","Audi","S5","Automatic",2010
15,22,8,4.8,"Rear-Wheel Drive","BMW","650ci","Manual",2010
15,23,8,4.8,"Rear-Wheel Drive","BMW","650ci","Automatic",2010
14,21,8,4.8,"Rear-Wheel Drive","BMW","650ci Convertible","Manual",2010
15,23,8,4.8,"Rear-Wheel Drive","BMW","650ci Convertible","Automatic",2010
11,17,10,5,"Rear-Wheel Drive","BMW","M6","Manual",2010
11,17,10,5,"Rear-Wheel Drive","BMW","M6","Automatic",2010
11,17,10,5,"Rear-Wheel Drive","BMW","M6 Convertible","Manual",2010
11,17,10,5,"Rear-Wheel Drive","BMW","M6 Convertible","Automatic",2010
16,24,6,4,"Rear-Wheel Drive","Ford","Mustang","Automatic",2010
18,26,6,4,"Rear-Wheel Drive","Ford","Mustang","Manual",2010
17,23,8,4.6,"Rear-Wheel Drive","Ford","Mustang","Automatic",2010
16,24,8,4.6,"Rear-Wheel Drive","Ford","Mustang","Manual",2010
14,22,8,5.4,"Rear-Wheel Drive","Ford","Mustang","Manual",2010
20,30,4,2,"Rear-Wheel Drive","Hyundai","Genesis Coupe","Automatic",2010
21,30,4,2,"Rear-Wheel Drive","Hyundai","Genesis Coupe","Manual",2010
17,27,6,3.8,"Rear-Wheel Drive","Hyundai","Genesis Coupe","Automatic",2010
17,26,6,3.8,"Rear-Wheel Drive","Hyundai","Genesis Coupe","Manual",2010
18,26,6,2.5,"Rear-Wheel Drive","Lexus","IS 250/IS 250C","Manual",2010
21,29,6,2.5,"Rear-Wheel Drive","Lexus","IS 250/IS 250C","Automatic",2010
18,25,6,3.5,"Rear-Wheel Drive","Lexus","IS 350/IS 350C","Automatic",2010
15,21,6,3.8,"4-Wheel Drive","Nissan","GT-R","Automatic",2010
14,21,8,4.6,"Rear-Wheel Drive","Roush Performance","Stage 3 Mustang","Automatic",2010
15,23,8,4.6,"Rear-Wheel Drive","Roush Performance","Stage 3 Mustang","Manual",2010
21,29,4,2.4,"Front-Wheel Drive","Scion","tC","Automatic",2010
20,27,4,2.4,"Front-Wheel Drive","Scion","tC","Manual",2010
40,43,4,1.3,"Front-Wheel Drive","Honda","Insight","Automatic",2010
40,43,4,1.3,"Front-Wheel Drive","Honda","Insight","Automatic",2010
27,36,4,2,"Front-Wheel Drive","Kia","Forte","Automatic",2010
25,34,4,2,"Front-Wheel Drive","Kia","Forte","Automatic",2010
25,34,4,2,"Front-Wheel Drive","Kia","Forte","Manual",2010
23,31,4,2.4,"Front-Wheel Drive","Kia","Forte","Automatic",2010
22,32,4,2.4,"Front-Wheel Drive","Kia","Forte","Manual",2010
25,33,4,2,"Front-Wheel Drive","Mazda","3","Manual",2010
24,33,4,2,"Front-Wheel Drive","Mazda","3","Automatic",2010
21,29,4,2.5,"Front-Wheel Drive","Mazda","3","Manual",2010
22,29,4,2.5,"Front-Wheel Drive","Mazda","3","Automatic",2010
26,34,4,1.8,"Front-Wheel Drive","Toyota","Corolla","Automatic",2010
26,35,4,1.8,"Front-Wheel Drive","Toyota","Corolla","Manual",2010
22,30,4,2.4,"Front-Wheel Drive","Toyota","Corolla","Manual",2010
22,30,4,2.4,"Front-Wheel Drive","Toyota","Corolla","Automatic",2010
16,23,8,4.2,"All-Wheel Drive","Audi","A6 quattro","Automatic",2010
16,23,8,4.2,"All-Wheel Drive","Audi","A8","Automatic",2010
18,28,6,3,"Rear-Wheel Drive","BMW","528i","Manual",2010
18,27,6,3,"Rear-Wheel Drive","BMW","528i","Automatic",2010
17,25,6,3,"All-Wheel Drive","BMW","528i xDrive","Automatic",2010
17,25,6,3,"All-Wheel Drive","BMW","528i xDrive","Manual",2010
17,26,6,3,"Rear-Wheel Drive","BMW","535i","Automatic",2010
17,26,6,3,"Rear-Wheel Drive","BMW","535i","Manual",2010
16,25,6,3,"All-Wheel Drive","BMW","535i xDrive","Manual",2010
17,25,6,3,"All-Wheel Drive","BMW","535i xDrive","Automatic",2010
15,22,8,4.8,"Rear-Wheel Drive","BMW","550i","Manual",2010
15,23,8,4.8,"Rear-Wheel Drive","BMW","550i","Automatic",2010
11,17,10,5,"Rear-Wheel Drive","BMW","M5","Manual",2010
11,17,10,5,"Rear-Wheel Drive","BMW","M5","Automatic",2010
16,25,6,3.6,"Rear-Wheel Drive","Cadillac","CTS","Manual",2010
18,27,6,3.6,"Rear-Wheel Drive","Cadillac","CTS","Automatic",2010
18,27,6,3.6,"All-Wheel Drive","Cadillac","CTS AWD","Automatic",2010
18,27,6,3.6,"Rear-Wheel Drive","Cadillac","STS","Automatic",2010
18,27,6,3.6,"All-Wheel Drive","Cadillac","STS AWD","Automatic",2010
17,24,6,3.5,"All-Wheel Drive","Ford","Fusion AWD","Automatic",2010
18,25,6,3,"All-Wheel Drive","Ford","Fusion AWD FFV","Automatic",2010
22,31,4,2.5,"Front-Wheel Drive","Ford","Fusion FWD","Automatic",2010
22,29,4,2.5,"Front-Wheel Drive","Ford","Fusion FWD","Manual",2010
18,27,6,3.5,"Front-Wheel Drive","Ford","Fusion FWD","Automatic",2010
19,27,6,3,"Front-Wheel Drive","Ford","Fusion FWD FFV","Automatic",2010
41,36,4,2.5,"Front-Wheel Drive","Ford","Fusion Hybrid FWD","Automatic",2010
23,34,4,2.5,"Front-Wheel Drive","Ford","Fusion S FWD","Automatic",2010
22,31,4,2.5,"Front-Wheel Drive","Ford","Fusion S FWD","Manual",2010
16,25,8,4.2,"Rear-Wheel Drive","Jaguar","XF","Automatic",2010
16,23,8,5,"Rear-Wheel Drive","Jaguar","XF","Automatic",2010
15,21,8,5,"Rear-Wheel Drive","Jaguar","XF","Automatic",2010
18,25,6,3,"All-Wheel Drive","Mercury","Milan AWD FFV","Automatic",2010
22,31,4,2.5,"Front-Wheel Drive","Mercury","Milan","Automatic",2010
22,29,4,2.5,"Front-Wheel Drive","Mercury","Milan","Manual",2010
19,27,6,3,"Front-Wheel Drive","Mercury","Milan FFV","Automatic",2010
